name,appid,genre
Defiance,224600,Action
Defiance,224600,Free to Play
Defiance,224600,Massively Multiplayer
Defiance,224600,RPG
Half-Life: Source,280,Action
Trine 2: Complete Story,35720,Action
Trine 2: Complete Story,35720,Adventure
Trine 2: Complete Story,35720,Indie
V Rising,1604030,Action
V Rising,1604030,Adventure
V Rising,1604030,Massively Multiplayer
V Rising,1604030,Early Access
Company of Heroes - Legacy Edition,4560,Action
Company of Heroes - Legacy Edition,4560,Strategy
Last Epoch,899770,Action
Last Epoch,899770,Adventure
Last Epoch,899770,Indie
Last Epoch,899770,RPG
Last Epoch,899770,Early Access
HITMAN,236870,Action
TEKKEN 7,389730,Action
TEKKEN 7,389730,Sports
Codename CURE,355180,Action
Codename CURE,355180,Free to Play
Batman: Arkham Knight,208650,Action
Batman: Arkham Knight,208650,Adventure
Resident Evil 7 Biohazard,418370,Action
Resident Evil 7 Biohazard,418370,Adventure
Resident Evil Village,1196590,Action
Shadow Warrior,233130,Action
Shadow Warrior,233130,Adventure
Mirror's Edge,17410,Action
Mirror's Edge,17410,Adventure
Just Cause 3,225540,Action
Just Cause 3,225540,Adventure
Sniper Elite 4,312660,Action
Sniper Elite 4,312660,Adventure
Titan Quest Anniversary Edition,475150,Action
Titan Quest Anniversary Edition,475150,RPG
Hitman: Absolution,203140,Action
Elite Dangerous,359320,Action
Elite Dangerous,359320,Adventure
Elite Dangerous,359320,Massively Multiplayer
Elite Dangerous,359320,RPG
Elite Dangerous,359320,Simulation
Elite Dangerous,359320,Strategy
Stories: The Path of Destinies,439190,Action
Stories: The Path of Destinies,439190,Adventure
Stories: The Path of Destinies,439190,Indie
Stories: The Path of Destinies,439190,RPG
Hotline Miami,219150,Action
Hotline Miami,219150,Indie
Overcooked! 2,728880,Action
Overcooked! 2,728880,Casual
Overcooked! 2,728880,Indie
Crypt of the NecroDancer,247080,Action
Crypt of the NecroDancer,247080,Indie
Crypt of the NecroDancer,247080,RPG
BioShock Remastered,409710,Action
BioShock Remastered,409710,RPG
Blacklight: Retribution,209870,Action
Blacklight: Retribution,209870,Free to Play
Grand Theft Auto III,12100,Action
The Binding of Isaac,113200,Action
The Binding of Isaac,113200,Adventure
The Binding of Isaac,113200,Indie
The Binding of Isaac,113200,RPG
Grounded,962130,Action
Grounded,962130,Adventure
Quake Live,282440,Action
Pummel Party,880940,Action
