,appid,name,developer,publisher,positive,negative,avg_owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,positive_ratio,genre_Action,genre_Strategy,genre_RPG,genre_Indie,genre_Adventure,genre_Sports,genre_Simulation,genre_Early+Access,genre_Ex+Early+Access,genre_Massively,genre_Free
9567,1274490,Green Project,"Zerone Games, Dawson Dewulf",Zerone Games,950,180,150000,3539,0,3699,0,299,30,0.8407079646017699,0,0,0,1,0,0,1,0,0,0,0
9568,445130,The Average Everyday Adventures of Samantha Browne,Lemonsucker Games,Lemonsucker Games,861,195,150000,30,0,35,0,0,0,0.8153409090909091,0,0,0,1,0,0,0,0,0,0,1
9569,595440,CPU Invaders,Microblast Games,SA Industry,585,112,150000,196,0,220,0,28,198,0.8393113342898135,0,0,0,1,0,0,0,0,0,0,0
9570,1552350,The Jackbox Party Pack 8,"Jackbox Games, Inc.","Jackbox Games, Inc.",988,109,150000,262,39,185,39,1949,32,0.9006381039197813,0,0,0,1,0,0,0,0,0,0,0
9571,2540,RIP - Trilogy,Elephant Games,Dreamatrix,222,147,150000,30,0,57,0,499,0,0.6016260162601627,0,0,0,1,0,0,0,0,0,0,0
9572,299680,Tengami,Nyamyam,Nyamyam,1313,309,150000,27,0,38,0,174,1,0.8094944512946979,0,0,0,1,1,0,0,0,0,0,0
9573,559610,Love Ribbon,Razzart Visual,Razzart Visual,1652,126,150000,340,0,343,0,349,6,0.9291338582677166,0,0,0,1,0,0,0,0,0,0,0
9574,645090,Zup! 5,Quiet River,Quiet River,2400,158,150000,141,0,144,0,199,4,0.9382329945269742,0,0,0,1,0,0,0,0,0,0,0
9575,717640,Reigns: Her Majesty,"Nerial, Synaptic Insight Technology Systems",Devolver Digital,918,165,150000,163,0,156,0,98,5,0.8476454293628809,0,0,0,1,0,0,1,0,0,0,0
9576,757300,Truberbrook / Trüberbrook,btf,"Headup Publishing, WhisperGames",1186,462,150000,150,0,169,0,449,16,0.7196601941747572,0,0,0,1,1,0,0,0,0,0,0
9577,272040,KAMI,State of Play,State of Play,1120,51,150000,125,0,165,0,399,0,0.9564474807856532,0,0,0,1,0,0,0,0,0,0,0
9578,319450,Chariot,Frima Studio,"Frima Studio, Microids Indie",309,72,150000,111,0,123,0,149,2,0.8110236220472441,0,0,0,1,1,0,0,0,0,0,0
9579,356050,Beyond Eyes,"Tiger and Squid, Team17 Digital Ltd",Team17 Digital Ltd,1017,499,150000,147,0,158,0,0,1,0.670844327176781,0,0,0,1,1,0,0,0,0,0,0
9580,527450,Cockroach Simulator,HFM Games,HFM Games,2276,546,150000,94,0,83,0,99,8,0.8065201984408221,0,0,0,1,0,0,1,0,0,0,0
9581,343090,SimpleRockets,"Jundroo, LLC","Jundroo, LLC",301,52,150000,178,0,299,0,199,0,0.8526912181303116,0,0,0,1,0,0,1,0,0,0,0
9582,384360,Fingered,"Edmund McMillen, James Id","Edmund McMillen, James Id",676,224,150000,17,0,18,0,187,4,0.7511111111111111,0,0,0,1,0,0,0,0,0,0,0
9583,262690,Little Racers STREET,Milkstone Studios,Milkstone Studios,863,180,150000,117,0,150,0,149,4,0.8274209012464045,0,0,0,1,0,0,0,0,0,0,0
9584,277680,"About Love, Hate and the other ones",Black Pants Studio,Black Pants Studio,702,78,150000,156,0,214,0,139,0,0.9,0,0,0,1,0,0,0,0,0,0,0
9585,314070,Super Mega Baseball: Extra Innings,Metalhead Software Inc.,Electronic Arts,830,91,150000,568,0,939,0,493,2,0.9011943539630836,0,0,0,1,0,1,1,0,0,0,0
9586,521570,You Have 10 Seconds 2,Tamationgames,Tamationgames,596,63,150000,53,0,68,0,0,0,0.9044006069802732,0,0,0,1,0,0,0,0,0,0,1
9587,533860,Multimirror,Cleverweek,Cleverweek,56,75,150000,198,0,213,0,499,0,0.4274809160305343,0,0,0,1,0,0,0,0,0,0,0
9588,558660,it's always monday,Alon Zubina,Alon Zubina,230,54,150000,265,0,326,0,49,0,0.8098591549295775,0,0,0,1,1,0,1,0,0,0,0
9589,635850,Sentience: The Android's Tale,Pilgrim Adventures,GrabTheGames,106,12,150000,425,0,425,0,47,3,0.8983050847457628,0,0,0,1,1,0,0,0,0,0,0
9590,743390,DISTRAINT 2,Jesse Makkonen,Jesse Makkonen,3186,131,150000,122,0,162,0,152,7,0.960506481760627,0,0,0,1,1,0,0,0,0,0,0
9591,842150,Wild West Saga: Idle Tycoon Clicker,Tamasenco,Tamasenco,488,232,150000,570,0,57,0,0,41,0.6777777777777778,0,0,0,1,0,0,1,0,0,0,1
9592,282760,Circuits,Digital Tentacle,Digital Tentacle,1850,227,150000,106,0,53,0,99,1,0.8907077515647569,0,0,0,1,0,0,0,0,0,0,0
9593,326190,Alchemy Mysteries: Prague Legends,Jetdogs Studios,Jetdogs Studios,877,248,150000,193,0,201,0,99,2,0.7795555555555556,0,0,0,1,1,0,0,0,0,0,0
9594,521350,Use Your Words,"Smiling Buddha Games, LLC",Screenwave Media,647,82,150000,808,0,1531,0,524,10,0.887517146776406,0,0,0,1,0,0,0,0,0,0,0
9595,665370,Mutilate-a-Doll 2,Rava Games,Rava Games,1405,98,150000,14,0,14,0,630,16,0.9347970725216236,0,0,0,1,0,0,1,0,0,0,0
9596,566190,The Search,Jason Godbey,Jason Godbey,847,299,150000,28,0,34,0,119,2,0.7390924956369983,0,0,0,1,1,0,0,0,0,0,0
9597,1149660,Seek Girl Ⅱ,DSGame,DSGame,2004,456,150000,127,0,20,0,49,4,0.8146341463414634,0,0,0,1,0,0,0,0,0,0,0
9598,1424330,Wobbledogs,Animal Uprising,Secret Mode,6238,118,150000,234,0,302,0,1299,162,0.9814348646947766,0,0,0,1,0,0,1,0,1,0,0
9599,205690,1000 Amps,Brandon Brizzi,Brandon Brizzi,254,70,150000,29,0,42,0,499,0,0.7839506172839507,0,0,0,1,1,0,0,0,0,0,0
9600,389700,My Bones,GDNomaD,GDNomaD,174,195,150000,240,0,261,0,27,0,0.4715447154471545,0,0,0,1,1,0,0,0,0,0,0
9601,995460,Miracle Snack Shop,"TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd.",2155,58,150000,452,0,452,0,999,5,0.973791233619521,0,0,0,1,0,0,1,0,0,0,0
9602,979070,Just Die Already,DoubleMoose Games,Curve Games,1618,375,150000,576,125,330,125,449,29,0.811841445057702,0,0,0,1,1,0,1,0,0,0,0
9603,271820,Card City Nights,Ludosity,Ludosity,843,108,150000,196,0,160,0,499,3,0.886435331230284,0,0,0,1,1,0,0,0,0,0,0
9604,307580,Technobabylon,Technocrat Games,Wadjet Eye Games,1299,70,150000,469,0,475,0,449,3,0.9488677867056244,0,0,0,1,1,0,0,0,0,0,0
9605,348360,Doodle God,JoyBits Ltd.,JoyBits Ltd.,863,264,150000,320,0,299,0,524,11,0.7657497781721384,0,0,0,1,0,0,1,0,0,0,0
9606,409100,The Purring Quest,Valhalla Cats,Valhalla Cats,1227,239,150000,261,0,261,0,99,0,0.8369713506139154,0,0,0,1,0,0,0,0,0,0,0
